Year,Site,Depth_band,Replicate,Video_number,Time_of_appearance,Species,MaxN,Functional_group
2023,Arnedo,10,v1,1,441,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v1,2,11,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v1,2,1006,Naso lituratus,1,Browser
2023,Arnedo,10,v1,3,1035,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,4,503,Naso lituratus,1,Browser
2023,Arnedo,10,v1,4,1044,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,5,150,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,5,445,Naso lituratus,1,Browser
2023,Arnedo,10,v1,5,1229,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v1,6,809,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,7,39,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v1,7,903,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,8,50,Naso lituratus,1,Browser
2023,Arnedo,10,v1,8,202,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v1,8,842,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,9,226,Acanthurus nigrofuscus,3,Grazer
2023,Arnedo,10,v1,9,307,Naso lituratus,1,Browser
2023,Arnedo,10,v1,10,325,Cetoscarus bicolor,1,Grazer
2023,Arnedo,10,v1,10,1258,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,10,1525,Naso lituratus,1,Browser
2023,Arnedo,10,v1,11,517,Acanthurus nigrofuscus,3,Grazer
2023,Arnedo,10,v1,12,436,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v1,12,1555,Naso lituratus,1,Browser
2023,Arnedo,10,v1,13,621,Naso lituratus,1,Browser
2023,Arnedo,10,v1,13,652,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v1,13,1650,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v1,14,930,Acanthurus nigrofuscus,3,Grazer
2023,Arnedo,10,v1,14,1301,Naso lituratus,1,Browser
2023,Arnedo,10,v1,15,33,Naso lituratus,1,Browser
2023,Arnedo,10,v1,15,117,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v2,1,301,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v2,1,1232,Naso lituratus,1,Browser
2023,Arnedo,10,v2,2,944,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v2,2,1041,Naso lituratus,1,Browser
2023,Arnedo,10,v2,3,336,Scarus forsteni,2,Grazer
2023,Arnedo,10,v2,3,948,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v2,3,652,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v2,3,919,Naso lituratus,1,Browser
2023,Arnedo,10,v2,4,155,Naso lituratus,2,Browser
2023,Arnedo,10,v2,4,426,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v2,4,1312,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v2,5,457,Ctenochaetus striatus,1,Grazer
2023,Arnedo,10,v2,5,559,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v2,5,705,Naso lituratus,1,Browser
2023,Arnedo,10,v2,6,329,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v2,7,203,Naso lituratus,1,Browser
2023,Arnedo,10,v2,7,734,Centropyge vroliki,2,Grazer
2023,Arnedo,10,v2,7,1040,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v2,8,132,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v2,8,626,Naso lituratus,1,Browser
2023,Arnedo,10,v2,8,1540,Ctenochaetus striatus,1,Grazer
2023,Arnedo,10,v2,9,21,Acanthurus pyroferus,1,Grazer
2023,Arnedo,10,v2,9,745,Naso lituratus,1,Browser
2023,Arnedo,10,v2,9,1108,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v2,10,317,Centropyge vroliki,2,Grazer
2023,Arnedo,10,v2,10,701,Naso lituratus,1,Browser
2023,Arnedo,10,v2,10,1110,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v2,10,1129,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v2,11,953,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v2,11,1632,Naso lituratus,1,Browser
2023,Arnedo,10,v2,12,408,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v2,12,915,Centropyge vroliki,1,Grazer
2023,Arnedo,10,v2,12,1233,Naso lituratus,11,Browser
2023,Arnedo,10,v2,13,53,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v2,13,318,Naso lituratus,1,Browser
2023,Arnedo,10,v2,14,407,Naso lituratus,1,Browser
2023,Arnedo,10,v2,14,430,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,10,v2,14,742,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v2,14,759,Centropyge vroliki,1,Grazer
2023,Arnedo,10,v2,15,12,Acanthurus nigrofuscus,3,Grazer
2023,Arnedo,10,v2,15,32,Naso lituratus,1,Browser
2023,Arnedo,10,v3,1,13,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v3,1,1039,Centropyge vroliki,1,Grazer
2023,Arnedo,10,v3,2,31,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,10,v3,2,201,Acanthurus nigricans,1,Grazer
2023,Arnedo,10,v3,2,248,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v3,2,558,Naso lituratus,1,Browser
2023,Arnedo,10,v3,2,759,Ctenochaetus striatus,1,Grazer
2023,Arnedo,10,v3,2,817,Centropyge vroliki,1,Grazer
2023,Arnedo,10,v3,2,921,Chlorurus spilurus,1,Grazer
2023,Arnedo,10,v3,2,943,Zebrasoma veliferum,2,Grazer
2023,Arnedo,20,v1,1,0,None,0,None
2023,Arnedo,20,v1,2,1524,Acanthurus nigrofuscus,1,Grazer
2023,Arnedo,20,v1,3,141,Chlorurus spilurus,1,Grazer
2023,Arnedo,20,v1,3,648,Scarus rivulatus,1,Grazer
2023,Arnedo,20,v1,3,958,Acanthurus nigricans,1,Grazer
2023,Arnedo,20,v1,3,1133,Centropyge bispinossa,1,Grazer
2023,Arnedo,20,v1,4,119,Siganus puellos,1,Grazer
2023,Arnedo,20,v1,4,634,Scarus rivulatus,1,Grazer
2023,Arnedo,20,v1,5,129,Chlorurus spilurus,1,Grazer
2023,Arnedo,20,v1,5,220,Centropyge vroliki,1,Grazer
2023,Arnedo,20,v1,5,232,Centropyge bispinossa,1,Grazer
2023,Arnedo,20,v1,5,1200,Acanthurus nigrofuscus,2,Grazer
2023,Arnedo,20,v1,6,759,Scarus rivulatus,1,Grazer
