Year,Site,Depth_band,Treatment,Hours_deployed,Initial_weight_g,Final_weight_g,Weight_removed_g,Initial_height_cm,Final_height_cm,Height_removed_cm,Tag_ID,Comment
2023,Arnedo,10,Open,3,51,41,11,30,25,5,AVO1,Video_obs
2023,Arnedo,10,Open,3,54,52,2,31,30,1,AVO2,Video_obs
2023,Arnedo,10,Open,3,70,63,7,37,35,3,AVO3,Video_obs
2023,Arnedo,10,Caged,3,41,40,1,22,18,4,AVC2,Video_obs
2023,Arnedo,10,Caged,3,38,37,1,19,18,1,AVC3,Video_obs
2023,Arnedo,10,Caged,3,49,37,12,24,23,1,AVC1,Video_obs
2023,Arnedo,20,Open,3,26,24,2,17,17,1,AVO6,Video_obs
2023,Arnedo,20,Open,3,30,29,1,20,19,1,AVO4,Video_obs
2023,Arnedo,20,Open,3,13,11,2,10,9,2,AVO5,Video_obs
2023,Arnedo,20,Caged,3,6,3,3,11,11,0,AVC5,Video_obs
2023,Arnedo,20,Caged,3,13,11,2,9,8,2,AVC2,Video_obs
2023,Arnedo,20,Caged,3,46,39,7,21,19,7,AVC6,Video_obs
2023,Arnedo,30,Open,3,31,26,5,20,17,3,AVO2,Video_obs
2023,Arnedo,30,Open,3,23,21,2,16,15,1,AVO4,Video_obs
2023,Arnedo,30,Open,3,12,10,2,10,9,1,AVO1,Video_obs
2023,Arnedo,30,Caged,3,19,16,3,11,10,1,AVC5,Video_obs
2023,Arnedo,30,Caged,3,23,22,1,15,10,5,AVC2,Video_obs
2023,Arnedo,30,Caged,3,21,18,3,17,15,2,AVC3,Video_obs
2023,Arnedo,50,Open,3,22,5,18,16,5,11,AVO4,Video_obs
2023,Arnedo,50,Open,3,20,3,17,14,3,11,AVO1,Video_obs
2023,Arnedo,50,Open,3,22,21,0,15,15,0,AVO6,Video_obs
2023,Arnedo,50,Caged,3,27,24,3,29,29,0,AVC6,Video_obs
2023,Arnedo,50,Caged,3,18,15,3,20,18,2,AVC2,Video_obs
2023,Arnedo,50,Caged,3,29,24,5,26,26,0,AVC3,Video_obs
2023,Balingasay,10,Open,3,30,26,4,19,17,2,BVO1,Video_obs
2023,Balingasay,10,Open,3,55,55,0,31,31,0,BVO5,Video_obs
2023,Balingasay,10,Open,3,28,28,0,18,18,0,BVO6,Video_obs
2023,Balingasay,10,Caged,3,38,34,4,23,23,1,BVC2,Video_obs
2023,Balingasay,10,Caged,3,41,38,3,20,18,4,BVC1,Video_obs
2023,Balingasay,10,Caged,3,24,20,4,18,17,3,BVC5,Video_obs
2023,Balingasay,20,Open,3,56,47,9,32,28,4,BVO2,Video_obs
2023,Balingasay,20,Open,3,82,76,6,42,40,3,BVO6,Video_obs
2023,Balingasay,20,Open,3,107,99,8,52,49,3,BVO3,Video_obs
2023,Balingasay,20,Caged,3,30,29,1,15,14,1,BVC1,Video_obs
2023,Balingasay,20,Caged,3,44,40,4,13,11,2,BVC6,Video_obs
2023,Balingasay,20,Caged,3,56,52,4,23,20,3,BVC2,Video_obs
2023,Balingasay,30,Open,3,14,13,1,11,10,1,BVO1,Video_obs
2023,Balingasay,30,Open,3,28,20,8,19,15,4,BVO3,Video_obs
2023,Balingasay,30,Open,3,14,2,12,11,3,9,BVO4,Video_obs
2023,Balingasay,30,Caged,3,12,1,11,9,4,5,BVC5,Video_obs
2023,Balingasay,30,Caged,3,20,15,5,21,19,2,BVC4,Video_obs
2023,Balingasay,30,Caged,3,38,30,8,28,27,1,BVC6,Video_obs
2023,Lucero,10,Open,3,45,39,6,27,24,3,LVO2,Video_obs
2023,Lucero,10,Open,3,41,41,0,25,25,0,LVO4,Video_obs
2023,Lucero,10,Open,3,20,17,3,14,13,2,LVO3,Video_obs
2023,Lucero,10,Open,3,108,102,6,52,50,2,LVO1,Video_obs
2023,Lucero,10,Open,3,30,30,0,19,19,0,LVO5,Video_obs
2023,Lucero,10,Caged,3,45,41,4,25,20,5,LVC2,Video_obs
2023,Lucero,10,Caged,3,42,42,0,22,22,0,LVC4,Video_obs
2023,Lucero,10,Caged,3,56,53,3,29,28,1,LVC1,Video_obs
2023,Lucero,20,Open,3,27,26,1,18,17,1,LVO3,Video_obs
2023,Lucero,20,Open,3,23,17,6,16,13,3,LVO4,Video_obs
2023,Lucero,20,Open,3,37,20,17,23,14,9,LVO5,Video_obs
2023,Lucero,20,Caged,3,57,54,3,27,26,1,LVC1,Video_obs
2023,Lucero,20,Caged,3,42,40,2,21,18,3,LVC3,Video_obs
2023,Lucero,20,Caged,3,26,17,9,23,21,2,LVC2,Video_obs
2023,Lucero,30,Open,3,15,6,9,11,6,6,LVO5,Video_obs
2023,Lucero,30,Open,3,13,12,1,10,9,1,LVO2,Video_obs
2023,Lucero,30,Open,3,25,21,4,17,15,2,LVO1,Video_obs
2023,Lucero,30,Caged,3,17,16,1,18,17,1,LVC2,Video_obs
2023,Lucero,30,Caged,3,31,29,2,44,44,0,LVC1,Video_obs
2023,Lucero,30,Caged,3,22,16,6,16,15,1,LVC3,Video_obs
2023,Lucero,50,Open,3,23,10,13,16,8,8,LVO5,Video_obs
2023,Lucero,50,Open,3,15,12,3,12,10,2,LVO6,Video_obs
2023,Lucero,50,Open,3,37,30,7,23,20,3,LVO2,Video_obs
2023,Lucero,50,Caged,3,22,19,3,36,33,3,LVC1,Video_obs
2023,Lucero,50,Caged,3,42,39,3,29,19,10,LVC3,Video_obs
2023,Lucero,50,Caged,3,20,18,2,19,18,1,LVC2,Video_obs
2023,Silaki,10,Open,3,30,25,5,20,17,2,SVO1,Video_obs
2023,Silaki,10,Open,3,44,35,10,26,22,5,SVO4,Video_obs
2023,Silaki,10,Open,3,90,25,65,46,17,29,SVO3,Video_obs
2023,Silaki,10,Caged,3,42,32,10,38,34,4,SVC1,Video_obs
2023,Silaki,10,Caged,3,15,15,0,14,11,3,SVC2,Video_obs
2023,Silaki,10,Caged,3,31,22,9,20,17,3,SVC3,Video_obs
