Site,Depth,Coral,Acanthastrea sp (Acantha),Acanthophyllia sp. (Acantho),Acropora sp (Acro),Alveopora sp. (Alveo),Anacropora sp (Anac),Astrea sp. (Astrea),Astreopora sp. (Astreo),Australogyra sp. (Austra),Australophyllia sp. (Australophy),Blastomussa sp. (Blasto),Cantharellus sp. (Cantha),Catalaphyllia sp. (Catala),Catalaphyllia sp. (Cata),Caulastraea sp (Caula),Coelastrea sp. (Coelast),Coeloseris sp. (Coelo),Ctenactis sp. (Cten),Cycloseris sp. (Cyclo),Cynarina sp. (Cyna),Cyphastrea sp (Cypha),Danafungia sp. (Dana),Diploastrea sp (Diplo),Dipsastrea sp. (Dipsas),Duncanopsammia sp. (Duncan),Echinomorpha sp. (Echinom),Echinophyllia sp. (Echinop),Echinopora sp (Echin),Euphyllia sp. (Euphy),Favites sp. (Favi),Fimbriaphyllia sp. (Fimbri),Fungia sp. (Fungi),Galaxea sp (Gala),Gardineroseris sp. (Gardine),Goniastrea sp. (Gonia),Goniopora sp. (Gonio),Halomitra sp. (Halo),Heliofungia sp. (Helio),Herpolitha sp. (Herpo),Heterocyathus sp. (Heterocy),Heteropsammia sp. (Heterop),Homophyllia sp. (Homo),Hydnophora sp (Hydno),Isopora sp. (Iso),Leptastrea sp. (Lepta),Leptoria sp. (Leptor),Leptoseris sp. (Lepto),Lithophyllon sp. (Litho),Lobactis sp. (Loba),Lobophyllia sp. (Lobo),Merulina sp (Meru),Micromussa sp. (Micro),Montipora sp (Monti),Moseleya sp (Mose),Mycedium sp. (Myce),Oulastrea sp. (Oulas),Oulophyllia sp. (Oulo),Oxypora sp. (Oxy),Pachyseris sp (Pachy),Palausastrea sp (Palau),Paragoniastrea sp. (Paragon),Paramontastrea sp. (Paramont),Pavona sp. (Pavo),Pectinia sp (Pecti),Physogyra sp. (Physo),Platygyra sp. (Platy),Plerogyra sp (Plero),Plesiastrea sp. (Plesias),Pleuractis sp. (Pleura),Pocillopora sp (Pocillo),Podabacia sp (Poda),Polyphyllia sp. (Polyp),Porites sp (Pori),Psammocora sp (Psamm),Pseudosiderastrea sp. (Pseudo),Sandalolitha sp. (Sanda),Scapophyllia sp. (Scapo),Seriatopora sp (Seria),Stylocoeniella sp. (Stlyo),Stylophora sp (Stylo),Trachyphyllia sp. (Trachy),Tubastrea sp (Tuba),Turbinaria sp. (Turbin),Zoopilus sp. (Zoo),Non scleractinian coral,Distichopora sp. (Disti),Heliopora sp. (Heliop),Millepora sp. (Millep),Other non scleractinian corals (Other NSC),Stylaster sp. (Stlya),Tubipora sp. (Tubip),Macroalgae,Articulated calcareous (Art-cal),Corticated (Cort),Corticated foliose (Cort-Fol),Filamentous (Fila),Leathery (Leat),crustose algae (CA),Turf algae,Turf algae (TA),Dead coral with Algae,Dead coral with algae (DCA),"Sand, pavement, rubble",Coral rubbles (CR),Sand (S),Other live,Other (O),Unknowns,Unknown (UNK),Total_points
Silaki,30m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,1,4,0,0,1,,0,,0,,4,1,,3,,0,14
Lucero,10m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,1,0,0,3,0,,0,,0,,0,1,,0,,0,5
Lucero,10m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,2,4,0,3,0,,0,,0,,0,0,,2,,0,11
Lucero,10m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,1,1,1,0,0,,0,,0,,0,0,,2,,0,5
Lucero,10m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,2,1,2,0,0,,0,,0,,0,0,,0,,0,5
Lucero,10m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,2,2,0,0,,0,,0,,0,0,,0,,0,5
Lucero,20m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,2,7,0,1,1,,3,,2,,0,0,,0,,0,19
Lucero,20m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,4,0,0,0,,1,,1,,0,3,,0,,0,9
Lucero,20m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,2,3,1,0,0,,2,,0,,0,7,,0,,0,15
Lucero,30m,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,1,0,1,0,0,,0,,1,,0,7,,1,,0,11
