Year,Site,Depth_band,Replicate,Video_name,Species,Size_cm
2023,Arnedo,10,v1,vlcsnap-2025-02-25-09h15m30s736,Naso lituratus,19.1
2023,Arnedo,10,v1,vlcsnap-2025-02-25-09h19m52s759,Naso lituratus,17.4
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h03m31s394,Naso lituratus,17.8
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h09m35s013,Naso lituratus,15.9
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h09m58s951,Naso lituratus,20.5
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h10m19s115,Naso lituratus,14.7
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h10m47s286,Naso lituratus,17.5
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h12m24s354,Naso lituratus,19
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h12m40s753,Naso lituratus,16.4
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h13m05s211,Naso lituratus,18.8
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h14m46s073,Naso lituratus,18
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h15m46s713,Naso lituratus,18.3
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h18m27s820,Naso lituratus,18.3
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h19m15s414,Naso lituratus,18.3
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h21m08s131,Naso lituratus,14.7
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h22m00s332,Naso lituratus,19.4
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h27m09s112,Naso lituratus,14.2
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h28m46s959,Naso lituratus,18.2
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h29m27s222,Naso lituratus,14.4
2023,Arnedo,10,v1,vlcsnap-2025-02-25-10h31m20s248,Naso lituratus,14.5
